time,Msun,Sun_x,Sun_y,Sun_z,Mercury_x,Mercury_y,Mercury_z,Venus_x,Venus_y,Venus_z,Earth_x,Earth_y,Earth_z,Mars_x,Mars_y,Mars_z,Jupiter_x,Jupiter_y,Jupiter_z,Saturn_x,Saturn_y,Saturn_z,Uranus_x,Uranus_y,Uranus_z,Neptune_x,Neptune_y,Neptune_z,Pluto_x,Pluto_y,Pluto_z,Luna_x,Luna_y,Luna_z
1,10,-0.006214,-0.004629,0.0001872,-0.1022,-0.4542,-0.02775,0.3685,-0.6252,-0.02996,0.8491,0.5006,0.000154,0.3885,1.475,0.02152,1.56,4.807,-0.05485,9.398,-2.146,-0.3369,11.32,15.95,-0.08746,29.87,-0.8574,-0.6707,18.03,-30.08,-1.997,0.848,0.5029,0.0003758
2,10,-0.006207,-0.004633,0.0001871,-0.07609,-0.4397,-0.02896,0.3817,-0.6081,-0.03048,0.8364,0.5132,0.0001534,0.3751,1.479,0.02192,1.553,4.81,-0.05469,9.399,-2.141,-0.337,11.32,15.95,-0.08741,29.87,-0.8543,-0.6708,18.03,-30.08,-1.998,0.8349,0.5152,0.0003544
3,10,-0.0062,-0.004637,0.000187,-0.04759,-0.4101,-0.02915,0.3918,-0.5862,-0.03076,0.8212,0.5242,0.0001531,0.3613,1.48,0.02229,1.546,4.812,-0.05454,9.4,-2.136,-0.3371,11.32,15.95,-0.08736,29.87,-0.8511,-0.6709,18.04,-30.08,-1.999,0.8193,0.5259,0.000322
4,10,-0.006194,-0.004642,0.0001869,-0.01733,-0.3628,-0.02806,0.3985,-0.5593,-0.03078,0.8034,0.5336,0.0001531,0.3472,1.481,0.02265,1.538,4.814,-0.05438,9.401,-2.13,-0.3373,11.31,15.95,-0.08731,29.87,-0.848,-0.6709,18.04,-30.07,-2,0.8011,0.5348,0.0002802
5,10,-0.006187,-0.004646,0.0001868,0.01349,-0.2921,-0.02511,0.4015,-0.5274,-0.03051,0.783,0.5413,0.0001532,0.3329,1.48,0.02299,1.531,4.816,-0.05423,9.402,-2.125,-0.3374,11.31,15.95,-0.08727,29.87,-0.8448,-0.671,18.04,-30.07,-2.001,0.7805,0.5419,0.0002312
6,10,-0.00618,-0.004651,0.0001867,0.04095,-0.1839,-0.01878,0.4003,-0.4901,-0.02994,0.7599,0.5471,0.0001535,0.3182,1.479,0.02331,1.523,4.819,-0.05407,9.402,-2.119,-0.3375,11.31,15.96,-0.08722,29.87,-0.8416,-0.6711,18.05,-30.07,-2.002,0.7574,0.5471,0.0001777
7,10,-0.006173,-0.004655,0.0001866,-0.03289,0.009588,0.003801,0.3944,-0.4472,-0.02901,0.7342,0.551,0.0001539,0.3033,1.476,0.02361,1.516,4.821,-0.05391,9.403,-2.114,-0.3376,11.3,15.96,-0.08717,29.87,-0.8385,-0.6711,18.05,-30.07,-2.003,0.7318,0.5504,0.0001229
8,10,-0.006166,-0.00466,0.0001865,-0.1419,-0.1553,0.0003242,0.383,-0.3982,-0.02767,0.7056,0.5528,0.0001544,0.2882,1.471,0.02389,1.508,4.822,-0.05375,9.404,-2.108,-0.3378,11.3,15.96,-0.08712,29.87,-0.8353,-0.6712,18.05,-30.07,-2.004,0.7034,0.5516,7.005e-05
9,10,-0.00616,-0.004664,0.0001864,-0.1672,-0.2577,-0.005719,0.3647,-0.3423,-0.02585,0.6742,0.5524,0.000155,0.2727,1.466,0.02416,1.501,4.824,-0.05359,9.405,-2.103,-0.3379,11.3,15.96,-0.08707,29.87,-0.8322,-0.6713,18.05,-30.07,-2.005,0.6724,0.5506,2.239e-05
10,10,-0.006153,-0.004668,0.0001863,-0.1734,-0.3312,-0.01115,0.3376,-0.2785,-0.02341,0.6399,0.5495,0.0001556,0.257,1.459,0.02439,1.493,4.826,-0.05342,9.405,-2.097,-0.338,11.29,15.96,-0.08702,29.87,-0.829,-0.6713,18.06,-30.07,-2.005,0.6384,0.5473,-1.769e-05
11,10,-0.006146,-0.004673,0.0001862,-0.1693,-0.3847,-0.01591,0.2983,-0.205,-0.02013,0.6025,0.544,0.0001563,0.2411,1.45,0.02461,1.485,4.827,-0.05326,9.406,-2.092,-0.3381,11.29,15.97,-0.08697,29.87,-0.8259,-0.6714,18.06,-30.07,-2.006,0.6014,0.5414,-4.874e-05
12,10,-0.006139,-0.004677,0.0001861,-0.1582,-0.4223,-0.01999,0.2397,-0.1192,-0.01557,0.5617,0.5355,0.000157,0.225,1.441,0.02481,1.478,4.829,-0.05309,9.406,-2.086,-0.3382,11.29,15.97,-0.08692,29.87,-0.8227,-0.6715,18.06,-30.07,-2.007,0.5612,0.5326,-7.017e-05
13,10,-0.006132,-0.004681,0.0001859,-0.142,-0.4457,-0.0234,0.14,-0.01667,-0.008411,0.5175,0.5237,0.0001579,0.2086,1.43,0.02498,1.47,4.83,-0.05293,9.407,-2.081,-0.3384,11.28,15.97,-0.08686,29.87,-0.8195,-0.6715,18.06,-30.07,-2.008,0.5174,0.5206,-8.197e-05
14,10,-0.006125,-0.004686,0.0001858,-0.1216,-0.4559,-0.02609,-0.07122,-0.05289,0.00328,0.4695,0.5081,0.0001588,0.1921,1.417,0.02513,1.462,4.831,-0.05276,9.407,-2.075,-0.3385,11.28,15.97,-0.08681,29.87,-0.8164,-0.6716,18.07,-30.06,-2.009,0.4699,0.5049,-8.44e-05
