time,Msun,Sun_x,Sun_y,Sun_z,Mercury_x,Mercury_y,Mercury_z,Venus_x,Venus_y,Venus_z,Earth_x,Earth_y,Earth_z,Mars_x,Mars_y,Mars_z,Jupiter_x,Jupiter_y,Jupiter_z,Saturn_x,Saturn_y,Saturn_z,Uranus_x,Uranus_y,Uranus_z,Neptune_x,Neptune_y,Neptune_z,Pluto_x,Pluto_y,Pluto_z
1,50,-0.006633,-0.004329,0.0001934,0.3001,-0.1386,-0.03892,-0.6687,-0.2513,0.035,0.8512,-0.5268,0.000218,1.093,0.9387,-0.007013,2.012,4.615,-0.06415,9.333,-2.488,-0.3283,11.53,15.81,-0.0906,29.87,-1.057,-0.6665,17.86,-30.14,-1.94
2,50,-0.006627,-0.004334,0.0001933,0.1218,-0.0324,-0.01388,-0.621,-0.2554,0.03219,0.8415,-0.5008,0.0002165,1.076,0.9437,-0.006503,2.004,4.617,-0.064,9.334,-2.483,-0.3285,11.52,15.81,-0.09055,29.87,-1.054,-0.6666,17.86,-30.13,-1.941
3,50,-0.00662,-0.004339,0.0001932,0.2154,-0.1635,-0.03317,-0.5419,-0.2466,0.02775,0.8184,-0.4671,0.0002146,1.054,0.944,-0.005959,1.997,4.619,-0.06384,9.335,-2.477,-0.3286,11.52,15.82,-0.0905,29.87,-1.051,-0.6666,17.86,-30.13,-1.942
4,50,-0.006614,-0.004344,0.0001931,0.3201,-0.1947,-0.04533,-0.4229,-0.2196,0.02126,0.7809,-0.4253,0.0002124,1.027,0.9395,-0.005384,1.989,4.621,-0.06367,9.335,-2.472,-0.3287,11.52,15.82,-0.09045,29.87,-1.048,-0.6667,17.86,-30.13,-1.943
5,50,-0.006607,-0.004349,0.000193,0.3324,-0.1713,-0.04455,-0.2395,-0.1582,0.01152,0.7269,-0.3747,0.0002097,0.9942,0.9298,-0.004778,1.981,4.622,-0.06349,9.336,-2.466,-0.3288,11.51,15.82,-0.0904,29.87,-1.044,-0.6668,17.87,-30.13,-1.944
6,50,-0.006601,-0.004354,0.000193,0.2481,-0.1011,-0.03107,-0.177,0.001962,0.01011,0.6531,-0.3141,0.0002066,0.9555,0.9148,-0.004144,1.973,4.622,-0.06331,9.336,-2.461,-0.3289,11.51,15.82,-0.09035,29.87,-1.041,-0.6668,17.87,-30.13,-1.945
7,50,-0.006594,-0.004359,0.0001929,0.08928,-0.09691,-0.01616,-0.4114,-0.06636,0.0227,0.5537,-0.2416,0.000203,0.9108,0.894,-0.003483,1.964,4.622,-0.06312,9.336,-2.455,-0.329,11.51,15.82,-0.0903,29.87,-1.038,-0.6669,17.87,-30.13,-1.946
8,50,-0.006588,-0.004364,0.0001928,0.2752,-0.186,-0.0405,-0.5431,-0.1218,0.02954,0.416,-0.1531,0.0001987,0.8596,0.8669,-0.002796,1.955,4.622,-0.06292,9.336,-2.449,-0.3291,11.5,15.83,-0.09025,29.87,-1.035,-0.667,17.87,-30.13,-1.947
9,50,-0.006581,-0.004369,0.0001927,0.336,-0.19,-0.0464,-0.6252,-0.1667,0.03366,0.1972,-0.03833,0.0001934,0.8015,0.8328,-0.002085,1.946,4.621,-0.06271,9.336,-2.444,-0.3292,11.5,15.83,-0.0902,29.87,-1.032,-0.667,17.88,-30.13,-1.947
10,50,-0.006575,-0.004374,0.0001926,0.3094,-0.1465,-0.0404,-0.6719,-0.2024,0.03586,0.1509,-0.2071,0.0002031,0.7358,0.7908,-0.001353,1.937,4.619,-0.0625,9.336,-2.438,-0.3293,11.5,15.83,-0.09015,29.87,-1.029,-0.6671,17.88,-30.13,-1.948
11,50,-0.006568,-0.004379,0.0001925,0.1572,-0.04926,-0.0185,-0.6891,-0.2293,0.03648,0.3344,-0.3394,0.0002094,0.6615,0.7396,-0.0006029,1.928,4.617,-0.06228,9.335,-2.432,-0.3294,11.49,15.83,-0.0901,29.87,-1.026,-0.6672,17.88,-30.13,-1.949
12,50,-0.006562,-0.004384,0.0001924,0.1956,-0.1546,-0.03063,-0.6789,-0.2472,0.03565,0.4673,-0.4203,0.0002131,0.5773,0.6774,0.0001582,1.918,4.614,-0.06205,9.335,-2.426,-0.3295,11.49,15.83,-0.09004,29.86,-1.022,-0.6672,17.89,-30.12,-1.95
13,50,-0.006555,-0.004389,0.0001923,0.3133,-0.1944,-0.04467,-0.6415,-0.2553,0.03338,0.5714,-0.4757,0.0002155,0.4811,0.601,0.0009189,1.908,4.61,-0.06182,9.334,-2.42,-0.3295,11.49,15.84,-0.08999,29.86,-1.019,-0.6673,17.89,-30.12,-1.951
14,50,-0.006549,-0.004394,0.0001922,0.3354,-0.1763,-0.04522,-0.5743,-0.2515,0.02956,0.6546,-0.514,0.0002171,0.3692,0.5051,0.001654,1.898,4.607,-0.06158,9.333,-2.414,-0.3296,11.48,15.84,-0.08994,29.86,-1.016,-0.6673,17.89,-30.12,-1.952
15,50,-0.006542,-0.004398,0.0001921,0.2642,-0.1119,-0.03343,-0.4712,-0.2321,0.02388,0.7209,-0.5391,0.0002181,0.2346,0.378,0.002291,1.888,4.602,-0.06133,9.332,-2.409,-0.3297,11.48,15.84,-0.08989,29.86,-1.013,-0.6674,17.89,-30.12,-1.953
16,50,-0.006536,-0.004403,0.000192,0.04814,-0.06919,-0.01012,-0.3163,-0.1867,0.01556,0.7725,-0.5535,0.0002185,0.05706,0.1772,0.002438,1.877,4.597,-0.06107,9.331,-2.403,-0.3297,11.48,15.84,-0.08984,29.86,-1.01,-0.6675,17.9,-30.12,-1.954
17,50,-0.006529,-0.004408,0.0001919,0.2623,-0.1818,-0.03896,-0.02502,-0.04472,0.0007053,0.8107,-0.5584,0.0002184,0.252,0.06544,-0.004686,1.867,4.592,-0.06081,9.329,-2.396,-0.3298,11.47,15.84,-0.08978,29.86,-1.007,-0.6675,17.9,-30.12,-1.955
18,50,-0.006522,-0.004413,0.0001918,0.3336,-0.1921,-0.04635,-0.345,-0.04334,0.01919,0.8363,-0.5548,0.000218,0.4508,0.1972,-0.006799,1.856,4.585,-0.06054,9.328,-2.39,-0.3298,11.47,15.84,-0.08973,29.86,-1.003,-0.6676,17.9,-30.12,-1.955
19,50,-0.006516,-0.004418,0.0001917,0.3172,-0.1538,-0.04171,-0.5025,-0.1032,0.02745,0.8497,-0.5432,0.0002172,0.5886,0.3036,-0.00795,1.844,4.579,-0.06026,9.326,-2.384,-0.3299,11.46,15.85,-0.08968,29.86,-1,-0.6676,17.9,-30.12,-1.956
20,50,-0.006509,-0.004423,0.0001916,0.1861,-0.06437,-0.02238,-0.6001,-0.1517,0.03242,0.8508,-0.5238,0.000216,0.696,0.3945,-0.00868,1.833,4.572,-0.05997,9.324,-2.378,-0.3299,11.46,15.85,-0.08963,29.86,-0.997,-0.6677,17.91,-30.12,-1.957
21,50,-0.006503,-0.004428,0.0001915,0.1735,-0.144,-0.02772,-0.6586,-0.1906,0.03526,0.8393,-0.4968,0.0002144,0.7833,0.474,-0.009155,1.821,4.564,-0.05968,9.322,-2.372,-0.3299,11.46,15.85,-0.08957,29.86,-0.9939,-0.6678,17.91,-30.11,-1.958
22,50,-0.006496,-0.004432,0.0001914,0.3054,-0.1934,-0.04386,-0.686,-0.2207,0.03643,0.8143,-0.462,0.0002125,0.8557,0.5445,-0.009451,1.809,4.555,-0.05937,9.32,-2.366,-0.3299,11.45,15.85,-0.08952,29.86,-0.9907,-0.6678,17.91,-30.11,-1.959
23,50,-0.00649,-0.004437,0.0001913,0.3372,-0.1807,-0.04574,-0.6856,-0.2419,0.03612,0.7747,-0.4191,0.0002102,0.916,0.6074,-0.009613,1.797,4.547,-0.05907,9.318,-2.359,-0.33,11.45,15.85,-0.08947,29.86,-0.9875,-0.6679,17.92,-30.11,-1.96
24,50,-0.006483,-0.004442,0.0001912,0.2784,-0.1218,-0.03553,-0.6581,-0.2537,0.03437,0.7183,-0.3672,0.0002075,0.9662,0.6635,-0.009668,1.785,4.537,-0.05875,9.315,-2.353,-0.33,11.45,15.85,-0.08941,29.86,-0.9843,-0.6679,17.92,-30.11,-1.961
25,50,-0.006476,-0.004447,0.0001911,-0.004733,0.001449,0.000513,-0.6021,-0.2545,0.03113,0.6415,-0.3051,0.0002044,1.008,0.7136,-0.009633,1.772,4.527,-0.05843,9.312,-2.347,-0.33,11.44,15.85,-0.08936,29.86,-0.9812,-0.668,17.92,-30.11,-1.962
26,50,-0.00647,-0.004452,0.000191,0.2478,-0.1767,-0.03721,-0.5131,-0.2414,0.02617,0.5378,-0.2307,0.0002007,1.041,0.7582,-0.009522,1.759,4.516,-0.0581,9.31,-2.34,-0.33,11.44,15.86,-0.0893,29.86,-0.978,-0.6681,17.92,-30.11,-1.963
27,50,-0.006463,-0.004456,0.0001909,0.3301,-0.1936,-0.04614,-0.3799,-0.2074,0.01895,0.393,-0.1395,0.0001963,1.068,0.7976,-0.009345,1.746,4.505,-0.05776,9.307,-2.334,-0.33,11.43,15.86,-0.08925,29.86,-0.9748,-0.6681,17.93,-30.11,-1.963
28,50,-0.006457,-0.004461,0.0001908,0.3237,-0.1605,-0.04284,-0.1657,-0.1269,0.007695,0.1517,-0.01946,0.0001908,1.087,0.8321,-0.009109,1.733,4.493,-0.05741,9.304,-2.327,-0.33,11.43,15.86,-0.0892,29.86,-0.9717,-0.6682,17.93,-30.11,-1.964
29,50,-0.00645,-0.004466,0.0001907,0.2106,-0.07811,-0.02573,-0.2617,-0.01846,0.01473,0.1809,-0.2308,0.0002024,1.101,0.8618,-0.00882,1.72,4.481,-0.05706,9.3,-2.321,-0.3299,11.43,15.86,-0.08914,29.86,-0.9685,-0.6682,17.93,-30.11,-1.965
30,50,-0.006443,-0.00447,0.0001906,0.1485,-0.1311,-0.02437,-0.4545,-0.08316,0.02497,0.3547,-0.3526,0.0002082,1.109,0.8868,-0.008484,1.706,4.468,-0.05669,9.297,-2.314,-0.3299,11.42,15.86,-0.08909,29.86,-0.9653,-0.6683,17.93,-30.1,-1.966
31,50,-0.006437,-0.004475,0.0001905,0.2964,-0.1916,-0.04288,-0.57,-0.1355,0.03091,0.4829,-0.4292,0.0002117,1.111,0.9074,-0.008103,1.692,4.454,-0.05633,9.293,-2.308,-0.3299,11.42,15.86,-0.08903,29.86,-0.9622,-0.6683,17.94,-30.1,-1.967
32,50,-0.00643,-0.00448,0.0001904,0.338,-0.1845,-0.04611,-0.6413,-0.1777,0.03445,0.5839,-0.4819,0.000214,1.107,0.9235,-0.007681,1.678,4.44,-0.05595,9.29,-2.301,-0.3299,11.42,15.86,-0.08898,29.86,-0.959,-0.6684,17.94,-30.1,-1.968
33,50,-0.006424,-0.004485,0.0001903,0.2907,-0.1311,-0.0374,-0.6794,-0.2109,0.03619,0.6646,-0.5182,0.0002154,1.098,0.935,-0.007221,1.663,4.425,-0.05556,9.286,-2.295,-0.3298,11.41,15.86,-0.08892,29.86,-0.9558,-0.6684,17.94,-30.1,-1.969
34,50,-0.006417,-0.004489,0.0001902,0.0805,-0.01532,-0.008667,-0.6888,-0.2354,0.03639,0.7288,-0.5418,0.0002163,1.084,0.942,-0.006725,1.648,4.41,-0.05517,9.282,-2.288,-0.3298,11.41,15.86,-0.08887,29.86,-0.9526,-0.6685,17.94,-30.1,-1.97
35,50,-0.00641,-0.004494,0.0001901,0.2318,-0.1704,-0.03521,-0.6711,-0.2506,0.03516,0.7785,-0.5548,0.0002167,1.065,0.9443,-0.006195,1.634,4.394,-0.05477,9.277,-2.281,-0.3297,11.4,15.87,-0.08881,29.86,-0.9495,-0.6686,17.95,-30.1,-1.971
36,50,-0.006404,-0.004499,0.00019,0.3255,-0.1946,-0.04578,-0.6257,-0.2557,0.03248,0.815,-0.5585,0.0002166,1.04,0.9418,-0.005633,1.618,4.377,-0.05436,9.273,-2.274,-0.3297,11.4,15.87,-0.08875,29.86,-0.9463,-0.6686,17.95,-30.1,-1.971
37,50,-0.006397,-0.004503,0.0001899,0.329,-0.1665,-0.04381,-0.5494,-0.2481,0.02818,0.839,-0.5538,0.0002161,1.009,0.9344,-0.00504,1.603,4.36,-0.05395,9.269,-2.267,-0.3296,11.4,15.87,-0.0887,29.86,-0.9431,-0.6687,17.95,-30.1,-1.972
38,50,-0.00639,-0.004508,0.0001898,0.2316,-0.09071,-0.02869,-0.4342,-0.2229,0.02187,0.8507,-0.5411,0.0002152,0.9727,0.9216,-0.004417,1.587,4.342,-0.05352,9.264,-2.261,-0.3295,11.39,15.87,-0.08864,29.86,-0.9399,-0.6687,17.95,-30.09,-1.973
39,50,-0.006384,-0.004512,0.0001897,0.1198,-0.1153,-0.02044,-0.258,-0.1657,0.0125,0.8501,-0.5207,0.0002139,0.9306,0.9033,-0.003767,1.572,4.323,-0.05309,9.259,-2.254,-0.3295,11.39,15.87,-0.08859,29.86,-0.9367,-0.6688,17.96,-30.09,-1.974
40,50,-0.006377,-0.004517,0.0001896,0.286,-0.1891,-0.04172,-0.146,0.00758,0.008411,0.8368,-0.4927,0.0002123,0.8822,0.8789,-0.003091,1.556,4.304,-0.05265,9.254,-2.247,-0.3294,11.38,15.87,-0.08853,29.86,-0.9336,-0.6688,17.96,-30.09,-1.975
41,50,-0.00637,-0.004522,0.0001895,0.3376,-0.1877,-0.04633,-0.3974,-0.06149,0.02197,0.81,-0.4568,0.0002104,0.8271,0.8479,-0.00239,1.539,4.284,-0.0522,9.249,-2.24,-0.3293,11.38,15.87,-0.08847,29.85,-0.9304,-0.6689,17.96,-30.09,-1.976
42,50,-0.006364,-0.004526,0.0001894,0.3013,-0.1396,-0.03907,-0.5343,-0.1179,0.0291,0.7682,-0.4127,0.000208,0.7647,0.8093,-0.001666,1.523,4.263,-0.05175,9.244,-2.233,-0.3292,11.38,15.87,-0.08842,29.85,-0.9272,-0.6689,17.96,-30.09,-1.977
43,50,-0.006357,-0.004531,0.0001893,0.1258,-0.03425,-0.01436,-0.6198,-0.1636,0.0334,0.7093,-0.3595,0.0002052,0.6941,0.7622,-0.0009234,1.506,4.242,-0.05128,9.238,-2.226,-0.3291,11.37,15.87,-0.08836,29.85,-0.924,-0.669,17.97,-30.09,-1.978
44,50,-0.00635,-0.004535,0.0001892,0.2139,-0.1629,-0.03295,-0.6691,-0.2,0.03574,0.6293,-0.2959,0.000202,0.6143,0.7049,-0.0001662,1.489,4.22,-0.05081,9.233,-2.219,-0.329,11.37,15.87,-0.0883,29.85,-0.9209,-0.669,17.97,-30.09,-1.978
45,50,-0.006344,-0.00454,0.0001891,0.3198,-0.1949,-0.04528,-0.6885,-0.2276,0.03649,0.5212,-0.2196,0.0001982,0.5234,0.635,0.0005967,1.472,4.197,-0.05033,9.227,-2.212,-0.3289,11.36,15.87,-0.08824,29.85,-0.9177,-0.6691,17.97,-30.08,-1.979
46,50,-0.006337,-0.004544,0.000189,0.333,-0.172,-0.04462,-0.6805,-0.2463,0.03577,0.3686,-0.1255,0.0001937,0.4187,0.5482,0.001347,1.454,4.174,-0.04984,9.221,-2.204,-0.3288,11.36,15.88,-0.08819,29.85,-0.9145,-0.6691,17.97,-30.08,-1.98
47,50,-0.00633,-0.004549,0.0001889,0.2499,-0.1023,-0.0313,-0.6453,-0.2552,0.03362,0.09461,0.0003155,0.0001881,0.295,0.4365,0.002041,1.436,4.15,-0.04934,9.215,-2.197,-0.3287,11.35,15.88,-0.08813,29.85,-0.9113,-0.6692,17.98,-30.08,-1.981
48,50,-0.006324,-0.004553,0.0001888,0.08612,-0.09494,-0.01568,-0.5807,-0.2525,0.02993,0.2088,-0.252,0.0002015,0.1402,0.2777,0.002511,1.418,4.125,-0.04883,9.209,-2.19,-0.3286,11.35,15.88,-0.08807,29.85,-0.9081,-0.6692,17.98,-30.08,-1.982
49,50,-0.006317,-0.004558,0.0001887,0.2743,-0.1858,-0.04037,-0.481,-0.2346,0.02442,0.3743,-0.3649,0.0002069,0.1153,-0.003928,-0.002781,1.4,4.099,-0.04832,9.202,-2.183,-0.3284,11.35,15.88,-0.08801,29.85,-0.905,-0.6693,17.98,-30.08,-1.983
50,50,-0.00631,-0.004562,0.0001886,0.3361,-0.1904,-0.04641,-0.3314,-0.192,0.01637,0.4981,-0.4376,0.0002102,0.3784,0.1457,-0.006099,1.381,4.073,-0.04779,9.196,-2.175,-0.3283,11.34,15.88,-0.08795,29.85,-0.9018,-0.6693,17.98,-30.08,-1.984
51,50,-0.006303,-0.004567,0.0001885,0.3104,-0.1474,-0.04054,-0.06625,-0.07465,0.002685,0.5961,-0.4877,0.0002123,0.5354,0.2609,-0.007536,1.362,4.046,-0.04726,9.189,-2.168,-0.3282,11.34,15.88,-0.0879,29.85,-0.8986,-0.6694,17.99,-30.08,-1.985
52,50,-0.006297,-0.004571,0.0001884,0.1604,-0.05092,-0.01889,-0.3278,-0.03805,0.01828,0.6744,-0.5222,0.0002137,0.6539,0.3576,-0.008413,1.343,4.018,-0.04672,9.182,-2.161,-0.328,11.33,15.88,-0.08784,29.85,-0.8954,-0.6694,17.99,-30.07,-1.985
53,50,-0.00629,-0.004576,0.0001883,0.1939,-0.1539,-0.03038,-0.4922,-0.09899,0.02693,0.7365,-0.5442,0.0002145,0.7488,0.4416,-0.008983,1.324,3.989,-0.04617,9.175,-2.153,-0.3279,11.33,15.88,-0.08778,29.85,-0.8922,-0.6695,17.99,-30.07,-1.986
54,50,-0.006283,-0.00458,0.0001882,0.3129,-0.1945,-0.04461,-0.5936,-0.1483,0.0321,0.7844,-0.5559,0.0002148,0.827,0.5157,-0.009348,1.304,3.96,-0.04561,9.168,-2.146,-0.3277,11.32,15.88,-0.08772,29.85,-0.889,-0.6695,17.99,-30.07,-1.987
55,50,-0.006276,-0.004585,0.0001881,0.3359,-0.1769,-0.04528,-0.6549,-0.188,0.0351,0.8191,-0.5584,0.0002146,0.8921,0.5816,-0.009563,1.285,3.93,-0.04504,9.16,-2.138,-0.3275,11.32,15.88,-0.08766,29.85,-0.8858,-0.6696,18,-30.07,-1.988
56,50,-0.00627,-0.004589,0.000188,0.2659,-0.113,-0.03364,-0.6847,-0.2187,0.03639,0.8414,-0.5526,0.0002141,0.9464,0.6405,-0.00966,1.264,3.899,-0.04446,9.153,-2.131,-0.3274,11.31,15.88,-0.0876,29.84,-0.8827,-0.6696,18,-30.07,-1.989
57,50,-0.006263,-0.004593,0.0001879,0.04391,-0.06606,-0.009437,-0.6864,-0.2407,0.03619,0.8514,-0.5388,0.0002131,0.9914,0.6931,-0.009661,1.244,3.867,-0.04387,9.145,-2.123,-0.3272,11.31,15.88,-0.08754,29.84,-0.8795,-0.6697,18,-30.07,-1.99
58,50,-0.006256,-0.004598,0.0001878,0.2613,-0.1816,-0.03881,-0.6612,-0.2533,0.03456,0.8492,-0.5174,0.0002118,1.028,0.74,-0.00958,1.223,3.834,-0.04327,9.137,-2.115,-0.327,11.31,15.88,-0.08748,29.84,-0.8763,-0.6697,18,-30.07,-1.991
59,50,-0.006249,-0.004602,0.0001877,0.3336,-0.1925,-0.04634,-0.6076,-0.255,0.03145,0.8341,-0.4883,0.0002102,1.057,0.7815,-0.00943,1.202,3.801,-0.04266,9.129,-2.108,-0.3268,11.3,15.88,-0.08742,29.84,-0.8731,-0.6698,18.01,-30.06,-1.991
60,50,-0.006243,-0.004606,0.0001876,0.3182,-0.1546,-0.04183,-0.5215,-0.2432,0.02664,0.8054,-0.4514,0.0002081,1.08,0.818,-0.009218,1.181,3.766,-0.04204,9.121,-2.1,-0.3266,11.3,15.88,-0.08736,29.84,-0.8699,-0.6698,18.01,-30.06,-1.992
61,50,-0.006236,-0.004611,0.0001875,0.1888,-0.06589,-0.02271,-0.3927,-0.2114,0.01965,0.7614,-0.4061,0.0002057,1.096,0.8497,-0.008951,1.16,3.731,-0.04142,9.113,-2.092,-0.3264,11.29,15.88,-0.0873,29.84,-0.8667,-0.6698,18.01,-30.06,-1.993
